Modulo,Domanda,Opzione,Risposta Corretta
M3 - UD1,I Sistemi di Gestione Standardizzati,Sono modelli organizzativi aziendali adottati su base volontaria,VERO
M3 - UD1,I Sistemi di Gestione Standardizzati,Sono modelli organizzativi aziendali obbligatori in certi ambiti,FALSO
M3 - UD1,I Sistemi di Gestione Standardizzati,Sono applicati maggiormente nelle aree critiche e sensibili dell’organizzazione,VERO
M3 - UD1,I Sistemi di Gestione Standardizzati,Sono realizzati mediante l'applicazione organica e sistematica di regole e procedure per raggiungere uno specifico obiettivo,VERO
M3 - UD1,I Sistemi di Gestione Standardizzati,Hanno sempre regole e procedure definite secondo uno standard creato dall’azienda stessa,FALSO
M3 - UD1,I Sistemi di Gestione Standardizzati,Riguardano tutti i livelli dell’organizzazione,VERO
M3 - UD1,Il percorso che porta alla certificazione di un'azienda o un'organizzazione,Prevede una prima fase (di solito) consulenziale di progettazione e implementazione del Sistema di Gestione,VERO
M3 - UD1,Il percorso che porta alla certificazione di un'azienda o un'organizzazione,Può prevedere una fase iniziale di assessment dell'azienda per capire meglio il contesto dell'organizzazione,VERO
M3 - UD1,Il percorso che porta alla certificazione di un'azienda o un'organizzazione,"Prevede una fase di realizzazione di politiche, procedure, manuali, istruzioni e moduli di registrazioni conformi alle norme dello schema di riferimento",VERO
M3 - UD1,Il percorso che porta alla certificazione di un'azienda o un'organizzazione,Una volta progettato il Sistema di Gestione questo può essere certificato mediante un Audit interno,FALSO
M3 - UD1,Il percorso che porta alla certificazione di un'azienda o un'organizzazione,Il percorso di Certificazione termina con l'Audit dell'Ente di Certificazione,FALSO
M3 - UD1,Il percorso che porta alla certificazione di un'azienda o un'organizzazione,Il percorso di Certificazione prevede revisioni annuali,VERO
M3 - UD1,Il percorso di Certificazione Aziendale,È composto di una prima fase (di solito) consulenziale di progettazione e implementazione del Sistema di Gestione,VERO
M3 - UD1,Il percorso di Certificazione Aziendale,"È composto di una prima fase in cui si realizzano manuali, procedure, istruzioni e moduli di registrazioni conformi alle norme dello schema di riferimento",VERO
M3 - UD1,Il percorso di Certificazione Aziendale,"Prevede un audit, ovvero una valutazione indipendente di un ente terzo di certificazione volta a ottenere le evidenze della soddisfazione dei criteri prefissati",VERO
M3 - UD1,Il percorso di Certificazione Aziendale,"Prevede un audit, ovvero una valutazione interna o da parte di terzi, volta a ottenere le evidenze della soddisfazione dei criteri prefissati",FALSO
M3 - UD1,Il percorso di Certificazione Aziendale,È composto di una seconda fase di richiesta della certificazione del Sistema di Gestione dopo l’esito positivo della valutazione interna,FALSO
M3 - UD1,Il percorso di Certificazione Aziendale,È composto di una seconda fase in cui si effettua la pianificazione dell’audit e del conseguimento del certificato a seguito del completamento positivo dell’audit da parte dell’ente di certificazione,VERO
M3 - UD1,Il S.O.C.,È il Security Organization Center,FALSO
M3 - UD1,Il S.O.C.,È il Security Operations Center,VERO
M3 - UD1,Il S.O.C.,È un centro da cui vengono forniti servizi finalizzati alla sicurezza dei sistemi informativi dell'azienda stessa,VERO
M3 - UD1,Il S.O.C.,È un centro da cui possono essere forniti servizi di sicurezza per l'organizzazione in generale,VERO
M3 - UD1,Il S.O.C.,Può avere anche funzioni di CERT e CSIRT,VERO
M3 - UD1,Il S.O.C.,Può essere solo interno all’organizzazione,FALSO
M3 - UD1,L’Action Workflow,È un tipo di modellizzazione basata sulle attività,FALSO
M3 - UD1,L’Action Workflow,È un tipo di modellizzazione basata sull’interazione o la negoziazione,VERO
M3 - UD1,L’Action Workflow,È un tipo di modellizzazione basata sui dati,FALSO
M3 - UD1,L’Action Workflow,È particolarmente adatto a rappresentare processi in cui gli elementi di decisione sono particolarmente importanti,VERO
M3 - UD1,L’Action Workflow,Mette al centro del modello le condizioni di soddisfazione (o di accordo) tra un cliente e un operatore/realizzatore,VERO
M3 - UD1,L’Action Workflow,Mette al centro del modello le informazioni sulla sequenza delle attività da realizzare,FALSO
M3 - UD1,L’Evento di Sicurezza Informatica,Può essere considerato come qualsiasi situazione che si verifichi nell’ambito di un determinato asset informatico la cui rilevanza è considerata significativa ai fini della salvaguardia dell’infrastruttura informatica,FALSO
M3 - UD1,L’Evento di Sicurezza Informatica,Può essere considerata qualsiasi situazione che sottintenda una violazione delle politiche di sicurezza IT fonte di danno per gli asset IT e per il quale si renda necessaria l’applicazione di misure di analisi e di contrasto e/o contenimento,FALSO
M3 - UD1,L’Evento di Sicurezza Informatica,"Può essere considerato come qualsiasi situazione che si verifichi nell’ambito di un determinato asset informatico la cui rilevanza è considerata significativa ai fini delle attività di gestione, controllo della sicurezza e contenimento dei rischi ad essa correlati",VERO
M3 - UD1,L’Evento di Sicurezza Informatica,Può essere a basso impatto (non significativo): qualsiasi evento gestito in maniera silente dal sistema di sicurezza e che non richiede uno specifico trattamento,VERO
M3 - UD1,L’Evento di Sicurezza Informatica,"Può essere a impatto significativo: qualsiasi evento rilevato nell’ambito dei sistemi e delle infrastrutture IT, che non necessita di essere ulteriormente analizzato",FALSO
M3 - UD1,L’Evento di Sicurezza Informatica,"Può essere a impatto di tipo critico: qualsiasi evento significativo che, a seguito delle analisi effettuate, potrebbe sottintendere, direttamente o indirettamente, una violazione delle politiche di sicurezza dell’azienda",VERO
M3 - UD1,L’Incident Response Plan (Piano di risposta agli incidenti),Permette di rispondere ad un attacco esterno mediante misure controffensive verso l’attaccante,FALSO
M3 - UD1,L’Incident Response Plan (Piano di risposta agli incidenti),Permette di rispondere all’esigenza di individuare incidenti o attacchi e mitigarne il danno,VERO
M3 - UD1,L’Incident Response Plan (Piano di risposta agli incidenti),Esegue anche la post analysis che consente di delineare la reale portata dell’incidente,VERO
M3 - UD1,L’Incident Response Plan (Piano di risposta agli incidenti),È un insieme di procedure documentate che descrivono in dettaglio i passaggi da intraprendere in ciascuna fase della risposta agli incidenti,VERO
M3 - UD1,L’Incident Response Plan (Piano di risposta agli incidenti),Se ben strutturato e documentato può non essere aggiornato frequentemente,FALSO
M3 - UD1,L’Incident Response Plan (Piano di risposta agli incidenti),"Dovrebbe includere linee guida per ruoli e responsabilità, piani di comunicazione e processi di risposta standardizzati",VERO
M3 - UD1,L’Incidente Informatico,Può essere considerato qualsiasi evento o insieme di eventi che sottintendono una violazione delle politiche di sicurezza IT fonte di danno per gli asset IT ovvero per il patrimonio informativo dell’organizzazione e per il quale si rende necessaria l’applicazione di misure di analisi e di contrasto e/o contenimento,VERO
