Modulo,Domanda,Opzione,Risposta Corretta
Modulo 1 - Unità didattica 1,“Morris Worm”,È stato uno dei primi worm distribuiti via Internet,VERO
Modulo 1 - Unità didattica 1,“Morris Worm”,"Ha funzionato, di fatto, come un attacco denial-of-service",VERO
Modulo 1 - Unità didattica 1,“Morris Worm”,È stato creato intenzionalmente per causare danni alle macchine in rete internet,FALSO
Modulo 1 - Unità didattica 1,“Morris Worm”,È stato ideato da uno studente della Cornell University per capire quando fosse grande e insicura la rete Internet,VERO
Modulo 1 - Unità didattica 1,“Morris Worm”,Ha sfruttato alcune vulnerabilità di Windows,FALSO
Modulo 1 - Unità didattica 1,“Morris Worm”,È stato così efficace a causa di un’anomalia di funzionamento del codice del worm stesso,VERO
Modulo 1 - Unità didattica 1,Cos’è la larghezza di banda di un canale di comunicazione?,La misura dell'ampiezza della gamma di frequenze che possono passare per quel canale,VERO
Modulo 1 - Unità didattica 1,Cos’è la larghezza di banda di un canale di comunicazione?,Un parametro inversamente proporzionale alla quantità di dati che possono essere trasmessi in un canale nell’unità di tempo,FALSO
Modulo 1 - Unità didattica 1,Cos’è la larghezza di banda di un canale di comunicazione?,Un parametro proporzionale alla quantità di dati che possono essere trasmessi in un canale nell’unità di tempo,VERO
Modulo 1 - Unità didattica 1,Cos’è la larghezza di banda di un canale di comunicazione?,Un parametro indipendente dalla quantità di dati trasmessi in un canale,FALSO
Modulo 1 - Unità didattica 1,Cos’è la larghezza di banda di un canale di comunicazione?,La misura dell’ampiezza dello spettro che passa in un canale,VERO
Modulo 1 - Unità didattica 1,Cos’è la larghezza di banda di un canale di comunicazione?,La capacità di un qualsiasi canale di trasmettere dati,VERO
Modulo 1 - Unità didattica 1,Il cavo di fibra ottica:,"È composto, in sezione da: core, buffer, cludding e jacket dall’interno verso l’esterno",FALSO
Modulo 1 - Unità didattica 1,Il cavo di fibra ottica:,"È composto, in sezione da: core, cludding, buffer e jacket dall’interno verso l’esterno",VERO
Modulo 1 - Unità didattica 1,Il cavo di fibra ottica:,Permette la trasmissione del raggio luminoso attraverso il core confinato dal cladding,VERO
Modulo 1 - Unità didattica 1,Il cavo di fibra ottica:,Utilizza raggi di luce sempre dello stesso colore,FALSO
Modulo 1 - Unità didattica 1,Il cavo di fibra ottica:,Può avere una frequenza di trasmissione da 300 a 107 GHz,VERO
Modulo 1 - Unità didattica 1,Il cavo di fibra ottica:,"Ha il Cladding con un indice di rifrazione inferiore rispetto al Core, che ha un indice superiore",VERO
Modulo 1 - Unità didattica 1,Il Longest Prefix Matching,È un criterio di scelta utilizzato dal Firewall se ci sono più regole che corrispondono all'indirizzo fornito,VERO
Modulo 1 - Unità didattica 1,Il Longest Prefix Matching,È un criterio con cui il Firewall sceglie la regola che ha più bit in comune con l'indirizzo fornito,VERO
Modulo 1 - Unità didattica 1,Il Longest Prefix Matching,È un criterio con cui uno Switch sceglie la regola che ha più bit in comune con l'indirizzo fornito,FALSO
Modulo 1 - Unità didattica 1,Il Longest Prefix Matching,"È un algoritmo, di livello 4 dello stack ISO/OSI, utilizzato dai router per selezionare una voce della tabella di routing",FALSO
Modulo 1 - Unità didattica 1,Il Longest Prefix Matching,È un algoritmo utilizzato dai router nelle reti IP per selezionare una voce della tabella di routing,VERO
Modulo 1 - Unità didattica 1,Il Longest Prefix Matching,"È un algoritmo, di livello 3 dello stack ISO/OSI",VERO
Modulo 1 - Unità didattica 1,Il Packet Switching:,È una tecnica di commutazione in cui messaggi consecutivi vengono raggruppati in pacchetti (packets) che vengono trasmessi simultaneamente,FALSO
Modulo 1 - Unità didattica 1,Il Packet Switching:,È una tecnica di commutazione in cui il messaggio viene diviso in parti più piccole (packets) che vengono gestite singolarmente,VERO
Modulo 1 - Unità didattica 1,Il Packet Switching:,"È una tecnica di commutazione in cui i pacchetti viaggiano attraverso la rete, prendendo il percorso più breve possibile (instradamento)",VERO
Modulo 1 - Unità didattica 1,Il Packet Switching:,È una tecnica di commutazione in cui tutti i pacchetti vengono suddivisi e trasmessi in maniera indipendente e riassemblati all'estremità ricevente nell'ordine corretto,VERO
Modulo 1 - Unità didattica 1,Il Packet Switching:,"Prevede, se un messaggio è pervenuto mancante di pacchetti o danneggiato, che venga notificata un richiesta di rinvio del messaggio, se invece viene raggiunto l'ordine corretto dei pacchetti, si invia conferma",VERO
Modulo 1 - Unità didattica 1,Il Packet Switching:,"Prevede, se un messaggio arriva mancante di pacchetti o danneggiato, che il messaggio possa essere corretto da un meccanismo di completamento automatico a correzione di errore",FALSO
Modulo 1 - Unità didattica 1,Il Routing,Il Routing è l'instradamento effettuato tra reti differenti con l’ausilio delle tabelle di instradamento configurate sui vari Router,VERO
Modulo 1 - Unità didattica 1,Il Routing,Il Routing è l'instradamento effettuato all’interno della stessa rete con l’ausilio delle tabelle di instradamento configurate sui vari Router,FALSO
Modulo 1 - Unità didattica 1,Il Routing,Per il suo funzionamento considera che i router siano a conoscenza degli indirizzi solo delle reti a cui sono direttamente collegati,VERO
Modulo 1 - Unità didattica 1,Il Routing,Per il suo funzionamento considera che i router siano a conoscenza degli indirizzi delle reti a cui sono direttamente o indirettamente collegati,FALSO
Modulo 1 - Unità didattica 1,Il Routing,"Nella tabella di instradamento ogni riga corrisponde a una regola e le regole vengono esaminate dalla prima all’ultima, se ci sono più regole che corrispondono all'indirizzo fornito, viene scelta la regola che ha più bit in comune con l'indirizzo fornito",VERO
Modulo 1 - Unità didattica 1,Il Routing,"Nella tabella di instradamento ogni riga corrisponde a una regola e le regole vengono esaminate dalla prima all’ultima, se ci sono più regole che corrispondono all'indirizzo fornito, viene scelta la prima regola che viene esaminata",FALSO
Modulo 1 - Unità didattica 1,Il Routing Statico,Può essere utilizzato anche quando il numero di dispositivi è elevato,FALSO
Modulo 1 - Unità didattica 1,Il Routing Statico,Può utilizzare l’algoritmo OSPF (Open Shortest Path First),FALSO
Modulo 1 - Unità didattica 1,Il Routing Statico,Può utilizzare l’algoritmo RIP (Routing Information Protocol),FALSO
Modulo 1 - Unità didattica 1,Il Routing Statico,"Richiede l’intervento umano nella scelta delle rotte, attraverso la configurazione manuale delle rotte",VERO
Modulo 1 - Unità didattica 1,Il Routing Statico,È gestito dai routers mediante la collaborazione con gli altri routers attraverso degli speciali protocolli,FALSO
Modulo 1 - Unità didattica 1,Il Routing Statico,Identifica i path migliori e provvedere di riempire automaticamente le tabelle di routing,FALSO
Modulo 1 - Unità didattica 1,Il Subnetting,È una suddivisione dello spazio di indirizzi riservato ad una rete,VERO
Modulo 1 - Unità didattica 1,Il Subnetting,È una tecnica che permette di dividere una rete in sottoreti,VERO
Modulo 1 - Unità didattica 1,Il Subnetting,"È utilizzato per risolvere al problema del numero limitato degli indirizzi IP pubblici, permettendo ad ogni azienda avere a disposizione un gran numero di indirizzi IP privati",VERO
Modulo 1 - Unità didattica 1,Il Subnetting,Si realizza attraverso l’utilizzo (nella versione IPv4) della mascheratura degli ottetti binari dell’indirizzo,VERO
Modulo 1 - Unità didattica 1,Il Subnetting,Si realizza attraverso l’utilizzo (nella versione IPv4) della mascheratura dei quartetti binari dell’indirizzo,FALSO
Modulo 1 - Unità didattica 1,Il Subnetting,Si realizza utilizzando una parte dei bit del prefisso di rete dell’indirizzo in maschera di sottorete,FALSO
Modulo 1 - Unità didattica 1,Il Triodo (o valvola Termoionica),Ha permesso di perfezionare e migliorare il circuito elettrico originario di Guglielmo Marconi,VERO
Modulo 1 - Unità didattica 1,Il Triodo (o valvola Termoionica),Era utilizzato per migliorare la “sintonizzazione” tra trasmettitore e ricevitore,FALSO
Modulo 1 - Unità didattica 1,Il Triodo (o valvola Termoionica),Ha permesso di migliorare il circuito elettrico di Guglielmo Marconi grazie alla sua capacità di rilevazione delle frequenze radio e di amplificazione del segnale,VERO
Modulo 1 - Unità didattica 1,Il Triodo (o valvola Termoionica),Può essere considerato l’antesignano del transistor,VERO
Modulo 1 - Unità didattica 1,Il Triodo (o valvola Termoionica),Può essere considerato l’antesignano del condensatore a capacità variabile,FALSO
Modulo 1 - Unità didattica 1,Il Triodo (o valvola Termoionica),È di fatto una tecnologia derivata dalla lampadina ad incandescenza,VERO
Modulo 1 - Unità didattica 1,Il virus informatico,"È un frammento di codice eseguibile, anche autonomamente, da un programma ospite",FALSO
Modulo 1 - Unità didattica 1,Il virus informatico,Deve appoggiarsi necessariamente ad un altro programma/eseguibile per essere attivato,FALSO
Modulo 1 - Unità didattica 1,Il virus informatico,"È auto-replicante, ovvero è in grado di creare la copia di sé sesso all'interno di altri file o computer senza il consenso o l'intervento di un utente",VERO
Modulo 1 - Unità didattica 1,Il virus informatico,Necessita del consenso o dell'intervento di un utente per gestire la duplicazione all’interno di altri file o computer,FALSO
Modulo 1 - Unità didattica 1,Il virus informatico,È comparso per la prima volta negli anni 90,FALSO
Modulo 1 - Unità didattica 1,Il virus informatico,Può essere considerato un “Worm”,FALSO
Modulo 1 - Unità didattica 1,Il World Wide Web (WWW),È un servizio che sfrutta pienamente il modello di architettura logica peer-to-peer,FALSO
Modulo 1 - Unità didattica 1,Il World Wide Web (WWW),"È un servizio che permette l’accesso a contenuti ipertestuali (documenti in formato ipertesto), e multimediali, sfruttando l'infrastruttura di Internet",VERO
